g	f	4D (4th Dimension)	ADABAS	Adaptive Server Enterprise	AllegroGraph	Apache Derby	CUBRID	DB2	Datacom	Empress	FileMaker	Firebird	FrontBase	Full Convert	HP NonStop SQL	HSQLDB	ITTIA DB SQL	InterBase	Invantive Query Tool	Linter	MariaDB	MarkLogic 	Microsoft Access	Microsoft SQL Server	Microsoft SQL Server Compact	MyDatabase	Nexusdb	NuoDB	Omnis Studio	OpenBase SQL	OpenEdge	OpenLink Virtuoso	Polyhedra	Postgres Advanced Server	R:Base	RDM Embedded	ScimoreDB	SmallSQL	Teradata	Valentina	VelocityDB	XtraBuild Designer	mSQL
Other Objects	Data Domain		0.0		0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0			0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0
Other Objects	External Routine		1.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0		0.0	1.0		1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0		0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0		0.0
Other Objects	Function		1.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
Other Objects	Procedure		1.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
Other Objects	Trigger		0.0		1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
Other Objects	Unknown					0.0	0.0	0.0			1.0		0.0			0.0			1.0	0.0	0.0						0.0		0.0								0.0	0.0					0.0
Partitioning	Composite (Range + Hash)		0.0			0.0	0.0	1.0		0.0	0.0	0.0	0.0			0.0		0.0			0.0	0.0		0.0	0.0	0.0	0.0		0.0		1.0	1.0	0.0		0.0	1.0			1.0	0.0	0.0		0.0
Partitioning	Hash	0.0		1.0		0.0	1.0	1.0			0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0			1.0		1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0		0.0
Partitioning	List	0.0	0.0	1.0		0.0	1.0	0.0		0.0	0.0	0.0	0.0			0.0		0.0			0.0	0.0		0.0	0.0	0.0	0.0		0.0		1.0	0.0	0.0		0.0	0.0			1.0	0.0	0.0		0.0
Partitioning	Native Replication API		0.0			0.0	0.0	1.0		1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0
Partitioning	None		0.0		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Partitioning	Range	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			0.0		0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	0.0		0.0	1.0	1.0	0.0	1.0	0.0	0.0		1.0
Partitioning	Shadow		0.0							0.0		1.0						1.0				0.0		0.0	0.0	0.0					0.0	1.0	0.0		0.0	0.0			0.0	0.0	0.0		
Partitioning	Unknown	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0		0.0		0.0		0.0	1.0	1.0	1.0	0.0		0.0				0.0	0.0				0.0	0.0
Tables and Views	Materialized Views	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Tables and Views	None		0.0			0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0	0.0	0.0				0.0		0.0	0.0	0.0		0.0		1.0				1.0	0.0				0.0	0.0
Tables and Views	Temporary Table	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
Tables and Views	Unknown		1.0		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0			0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	1.0	1.0	0.0
